時間戳記,日期,小時,日類型,場區總需量(kW),契約容量(kW),超約狀態,光電發電量(kWh),電網購電量(kWh),場區總用電量(kWh),電網排碳量(kgCO2e),光電減碳效益(kgCO2e)
2026-08-01 18:00,2026-08-01,18,週末,158.5,500.0,正常,0.0,158.5,158.5,78.46,0.0
2026-08-01 19:00,2026-08-01,19,週末,139.9,500.0,正常,0.0,139.9,139.9,69.25,0.0
2026-08-01 20:00,2026-08-01,20,週末,129.4,500.0,正常,0.0,129.4,129.4,64.05,0.0
2026-08-01 21:00,2026-08-01,21,週末,148.2,500.0,正常,0.0,148.2,148.2,73.36,0.0
2026-08-01 22:00,2026-08-01,22,週末,127.8,500.0,正常,0.0,127.8,127.8,63.26,0.0
2026-08-01 23:00,2026-08-01,23,週末,142.1,500.0,正常,0.0,142.1,142.1,70.34,0.0
2026-08-02 00:00,2026-08-02,0,週末,120.4,500.0,正常,0.0,120.4,120.4,59.6,0.0
2026-08-02 01:00,2026-08-02,1,週末,126.7,500.0,正常,0.0,126.7,126.7,62.72,0.0
2026-08-02 02:00,2026-08-02,2,週末,142.0,500.0,正常,0.0,142.0,142.0,70.29,0.0
2026-08-02 03:00,2026-08-02,3,週末,147.4,500.0,正常,0.0,147.4,147.4,72.96,0.0
2026-08-02 04:00,2026-08-02,4,週末,141.7,500.0,正常,0.0,141.7,141.7,70.14,0.0
2026-08-02 05:00,2026-08-02,5,週末,138.8,500.0,正常,0.0,138.8,138.8,68.71,0.0
2026-08-02 06:00,2026-08-02,6,週末,125.2,500.0,正常,0.0,125.2,125.2,61.97,0.0
2026-08-02 07:00,2026-08-02,7,週末,135.4,500.0,正常,61.7,73.7,135.4,36.48,30.54
2026-08-02 08:00,2026-08-02,8,週末,143.4,500.0,正常,155.9,0.0,143.4,0.0,77.17
2026-08-02 09:00,2026-08-02,9,週末,143.2,500.0,正常,171.5,0.0,143.2,0.0,84.89
2026-08-02 10:00,2026-08-02,10,週末,133.2,500.0,正常,236.7,0.0,133.2,0.0,117.17
2026-08-02 11:00,2026-08-02,11,週末,150.3,500.0,正常,279.6,0.0,150.3,0.0,138.4
2026-08-02 12:00,2026-08-02,12,週末,131.6,500.0,正常,294.0,0.0,131.6,0.0,145.53
2026-08-02 13:00,2026-08-02,13,週末,143.3,500.0,正常,265.8,0.0,143.3,0.0,131.57
2026-08-02 14:00,2026-08-02,14,週末,135.2,500.0,正常,257.1,0.0,135.2,0.0,127.26
2026-08-02 15:00,2026-08-02,15,週末,128.9,500.0,正常,195.2,0.0,128.9,0.0,96.62
2026-08-02 16:00,2026-08-02,16,週末,148.1,500.0,正常,122.1,26.1,148.1,12.92,60.44
2026-08-02 17:00,2026-08-02,17,週末,139.3,500.0,正常,92.8,46.5,139.3,23.02,45.94
2026-08-02 18:00,2026-08-02,18,週末,143.6,500.0,正常,15.1,128.6,143.6,63.66,7.47
2026-08-02 19:00,2026-08-02,19,週末,133.5,500.0,正常,0.0,133.5,133.5,66.08,0.0
2026-08-02 20:00,2026-08-02,20,週末,143.6,500.0,正常,0.0,143.6,143.6,71.08,0.0
2026-08-02 21:00,2026-08-02,21,週末,155.4,500.0,正常,0.0,155.4,155.4,76.92,0.0
2026-08-02 22:00,2026-08-02,22,週末,139.6,500.0,正常,0.0,139.6,139.6,69.1,0.0
2026-08-02 23:00,2026-08-02,23,週末,155.6,500.0,正常,0.0,155.6,155.6,77.02,0.0
2026-08-03 00:00,2026-08-03,0,平日,140.7,500.0,正常,0.0,140.7,140.7,69.65,0.0
2026-08-03 01:00,2026-08-03,1,平日,192.3,500.0,正常,0.0,192.3,192.3,95.19,0.0
2026-08-03 02:00,2026-08-03,2,平日,181.3,500.0,正常,0.0,181.3,181.3,89.74,0.0
2026-08-03 03:00,2026-08-03,3,平日,175.5,500.0,正常,0.0,175.5,175.5,86.87,0.0
2026-08-03 04:00,2026-08-03,4,平日,181.4,500.0,正常,0.0,181.4,181.4,89.79,0.0
2026-08-03 05:00,2026-08-03,5,平日,150.2,500.0,正常,0.0,150.2,150.2,74.35,0.0
2026-08-03 06:00,2026-08-03,6,平日,185.4,500.0,正常,0.0,185.4,185.4,91.77,0.0
2026-08-03 07:00,2026-08-03,7,平日,172.2,500.0,正常,94.6,77.6,172.2,38.41,46.83
2026-08-03 08:00,2026-08-03,8,平日,367.5,500.0,正常,127.9,239.6,367.5,118.6,63.31
2026-08-03 09:00,2026-08-03,9,平日,388.2,500.0,正常,211.7,176.5,388.2,87.37,104.79
2026-08-03 10:00,2026-08-03,10,平日,392.8,500.0,正常,234.5,158.3,392.8,78.36,116.08
2026-08-03 11:00,2026-08-03,11,平日,404.2,500.0,正常,271.9,132.3,404.2,65.49,134.59
2026-08-03 12:00,2026-08-03,12,平日,371.8,500.0,正常,269.5,102.3,371.8,50.64,133.4
2026-08-03 13:00,2026-08-03,13,平日,343.4,500.0,正常,264.6,78.8,343.4,39.01,130.98
2026-08-03 14:00,2026-08-03,14,平日,386.5,500.0,正常,246.9,139.6,386.5,69.1,122.22
2026-08-03 15:00,2026-08-03,15,平日,374.1,500.0,正常,198.1,176.1,374.1,87.17,98.06
2026-08-03 16:00,2026-08-03,16,平日,369.5,500.0,正常,118.8,250.7,369.5,124.1,58.81
2026-08-03 17:00,2026-08-03,17,平日,359.9,500.0,正常,67.3,292.6,359.9,144.84,33.31
2026-08-03 18:00,2026-08-03,18,平日,186.1,500.0,正常,0.0,186.1,186.1,92.12,0.0
2026-08-03 19:00,2026-08-03,19,平日,208.3,500.0,正常,0.0,208.3,208.3,103.11,0.0
2026-08-03 20:00,2026-08-03,20,平日,182.6,500.0,正常,0.0,182.6,182.6,90.39,0.0
2026-08-03 21:00,2026-08-03,21,平日,183.9,500.0,正常,0.0,183.9,183.9,91.03,0.0
2026-08-03 22:00,2026-08-03,22,平日,178.9,500.0,正常,0.0,178.9,178.9,88.56,0.0
2026-08-03 23:00,2026-08-03,23,平日,151.2,500.0,正常,0.0,151.2,151.2,74.84,0.0
2026-08-04 00:00,2026-08-04,0,平日,179.6,500.0,正常,0.0,179.6,179.6,88.9,0.0
2026-08-04 01:00,2026-08-04,1,平日,180.9,500.0,正常,0.0,180.9,180.9,89.55,0.0
2026-08-04 02:00,2026-08-04,2,平日,216.9,500.0,正常,0.0,216.9,216.9,107.37,0.0
2026-08-04 03:00,2026-08-04,3,平日,177.1,500.0,正常,0.0,177.1,177.1,87.66,0.0
2026-08-04 04:00,2026-08-04,4,平日,184.5,500.0,正常,0.0,184.5,184.5,91.33,0.0
2026-08-04 05:00,2026-08-04,5,平日,179.5,500.0,正常,0.0,179.5,179.5,88.85,0.0
2026-08-04 06:00,2026-08-04,6,平日,197.1,500.0,正常,0.0,197.1,197.1,97.56,0.0
2026-08-04 07:00,2026-08-04,7,平日,191.9,500.0,正常,83.7,108.1,191.9,53.51,41.43
2026-08-04 08:00,2026-08-04,8,平日,415.1,500.0,正常,126.4,288.7,415.1,142.91,62.57
2026-08-04 09:00,2026-08-04,9,平日,394.7,500.0,正常,177.0,217.7,394.7,107.76,87.62
2026-08-04 10:00,2026-08-04,10,平日,355.2,500.0,正常,275.3,79.9,355.2,39.55,136.27
2026-08-04 11:00,2026-08-04,11,平日,382.5,500.0,正常,262.0,120.5,382.5,59.65,129.69
2026-08-04 12:00,2026-08-04,12,平日,341.2,500.0,正常,272.4,68.8,341.2,34.06,134.84
2026-08-04 13:00,2026-08-04,13,平日,353.4,500.0,正常,271.5,82.0,353.4,40.59,134.39
2026-08-04 14:00,2026-08-04,14,平日,535.2,500.0,⚠️ 超約異常,249.6,285.6,535.2,141.37,123.55
2026-08-04 15:00,2026-08-04,15,平日,360.4,500.0,正常,221.2,139.2,360.4,68.9,109.49
2026-08-04 16:00,2026-08-04,16,平日,400.3,500.0,正常,135.2,265.2,400.3,131.27,66.92
2026-08-04 17:00,2026-08-04,17,平日,385.7,500.0,正常,54.0,331.7,385.7,164.19,26.73
2026-08-04 18:00,2026-08-04,18,平日,155.9,500.0,正常,19.6,136.3,155.9,67.47,9.7
2026-08-04 19:00,2026-08-04,19,平日,182.8,500.0,正常,0.0,182.8,182.8,90.49,0.0
2026-08-04 20:00,2026-08-04,20,平日,183.9,500.0,正常,0.0,183.9,183.9,91.03,0.0
2026-08-04 21:00,2026-08-04,21,平日,191.7,500.0,正常,0.0,191.7,191.7,94.89,0.0
2026-08-04 22:00,2026-08-04,22,平日,161.4,500.0,正常,0.0,161.4,161.4,79.89,0.0
2026-08-04 23:00,2026-08-04,23,平日,160.2,500.0,正常,0.0,160.2,160.2,79.3,0.0
2026-08-05 00:00,2026-08-05,0,平日,187.8,500.0,正常,0.0,187.8,187.8,92.96,0.0
2026-08-05 01:00,2026-08-05,1,平日,184.5,500.0,正常,0.0,184.5,184.5,91.33,0.0
2026-08-05 02:00,2026-08-05,2,平日,183.8,500.0,正常,0.0,183.8,183.8,90.98,0.0
2026-08-05 03:00,2026-08-05,3,平日,185.2,500.0,正常,0.0,185.2,185.2,91.67,0.0
2026-08-05 04:00,2026-08-05,4,平日,169.8,500.0,正常,0.0,169.8,169.8,84.05,0.0
2026-08-05 05:00,2026-08-05,5,平日,183.5,500.0,正常,0.0,183.5,183.5,90.83,0.0
2026-08-05 06:00,2026-08-05,6,平日,169.3,500.0,正常,4.4,164.9,169.3,81.63,2.18
2026-08-05 07:00,2026-08-05,7,平日,187.1,500.0,正常,100.5,86.7,187.1,42.92,49.75
2026-08-05 08:00,2026-08-05,8,平日,396.4,500.0,正常,122.1,274.3,396.4,135.78,60.44
2026-08-05 09:00,2026-08-05,9,平日,399.7,500.0,正常,183.4,216.3,399.7,107.07,90.78
2026-08-05 10:00,2026-08-05,10,平日,359.5,500.0,正常,259.9,99.6,359.5,49.3,128.65
2026-08-05 11:00,2026-08-05,11,平日,512.8,500.0,⚠️ 超約異常,284.9,227.9,512.8,112.81,141.03
2026-08-05 12:00,2026-08-05,12,平日,427.4,500.0,正常,292.3,135.1,427.4,66.87,144.69
2026-08-05 13:00,2026-08-05,13,平日,361.2,500.0,正常,266.8,94.4,361.2,46.73,132.07
2026-08-05 14:00,2026-08-05,14,平日,359.6,500.0,正常,229.1,130.5,359.6,64.6,113.4
2026-08-05 15:00,2026-08-05,15,平日,388.5,500.0,正常,196.8,191.7,388.5,94.89,97.42
2026-08-05 16:00,2026-08-05,16,平日,400.7,500.0,正常,144.2,256.5,400.7,126.97,71.38
2026-08-05 17:00,2026-08-05,17,平日,416.3,500.0,正常,72.7,343.7,416.3,170.13,35.99
2026-08-05 18:00,2026-08-05,18,平日,220.8,500.0,正常,0.0,220.8,220.8,109.3,0.0
2026-08-05 19:00,2026-08-05,19,平日,189.4,500.0,正常,0.0,189.4,189.4,93.75,0.0
2026-08-05 20:00,2026-08-05,20,平日,167.1,500.0,正常,0.0,167.1,167.1,82.71,0.0
2026-08-05 21:00,2026-08-05,21,平日,163.9,500.0,正常,0.0,163.9,163.9,81.13,0.0
2026-08-05 22:00,2026-08-05,22,平日,187.2,500.0,正常,0.0,187.2,187.2,92.66,0.0
2026-08-05 23:00,2026-08-05,23,平日,176.6,500.0,正常,0.0,176.6,176.6,87.42,0.0
2026-08-06 00:00,2026-08-06,0,平日,190.7,500.0,正常,0.0,190.7,190.7,94.4,0.0
2026-08-06 01:00,2026-08-06,1,平日,187.1,500.0,正常,0.0,187.1,187.1,92.61,0.0
2026-08-06 02:00,2026-08-06,2,平日,178.9,500.0,正常,0.0,178.9,178.9,88.56,0.0
2026-08-06 03:00,2026-08-06,3,平日,167.3,500.0,正常,0.0,167.3,167.3,82.81,0.0
2026-08-06 04:00,2026-08-06,4,平日,157.3,500.0,正常,0.0,157.3,157.3,77.86,0.0
2026-08-06 05:00,2026-08-06,5,平日,173.3,500.0,正常,0.0,173.3,173.3,85.78,0.0
2026-08-06 06:00,2026-08-06,6,平日,183.2,500.0,正常,12.8,170.4,183.2,84.35,6.34
2026-08-06 07:00,2026-08-06,7,平日,182.6,500.0,正常,53.8,128.8,182.6,63.76,26.63
2026-08-06 08:00,2026-08-06,8,平日,357.9,500.0,正常,145.8,212.1,357.9,104.99,72.17
2026-08-06 09:00,2026-08-06,9,平日,381.5,500.0,正常,200.3,181.2,381.5,89.69,99.15
2026-08-06 10:00,2026-08-06,10,平日,388.9,500.0,正常,225.3,163.6,388.9,80.98,111.52
2026-08-06 11:00,2026-08-06,11,平日,407.1,500.0,正常,278.9,128.2,407.1,63.46,138.06
2026-08-06 12:00,2026-08-06,12,平日,345.6,500.0,正常,295.8,49.8,345.6,24.65,146.42
2026-08-06 13:00,2026-08-06,13,平日,392.9,500.0,正常,256.4,136.5,392.9,67.57,126.92
2026-08-06 14:00,2026-08-06,14,平日,392.9,500.0,正常,250.2,142.7,392.9,70.64,123.85
2026-08-06 15:00,2026-08-06,15,平日,394.3,500.0,正常,255.8,138.5,394.3,68.56,126.62
2026-08-06 16:00,2026-08-06,16,平日,403.9,500.0,正常,157.0,246.8,403.9,122.17,77.72
2026-08-06 17:00,2026-08-06,17,平日,372.1,500.0,正常,82.2,289.9,372.1,143.5,40.69
2026-08-06 18:00,2026-08-06,18,平日,168.4,500.0,正常,11.4,157.0,168.4,77.72,5.64
2026-08-06 19:00,2026-08-06,19,平日,176.4,500.0,正常,0.0,176.4,176.4,87.32,0.0
2026-08-06 20:00,2026-08-06,20,平日,172.7,500.0,正常,0.0,172.7,172.7,85.49,0.0
2026-08-06 21:00,2026-08-06,21,平日,181.2,500.0,正常,0.0,181.2,181.2,89.69,0.0
2026-08-06 22:00,2026-08-06,22,平日,214.7,500.0,正常,0.0,214.7,214.7,106.28,0.0
2026-08-06 23:00,2026-08-06,23,平日,152.0,500.0,正常,0.0,152.0,152.0,75.24,0.0
2026-08-07 00:00,2026-08-07,0,平日,190.3,500.0,正常,0.0,190.3,190.3,94.2,0.0
2026-08-07 01:00,2026-08-07,1,平日,155.8,500.0,正常,0.0,155.8,155.8,77.12,0.0
2026-08-07 02:00,2026-08-07,2,平日,172.9,500.0,正常,0.0,172.9,172.9,85.59,0.0
2026-08-07 03:00,2026-08-07,3,平日,196.3,500.0,正常,0.0,196.3,196.3,97.17,0.0
2026-08-07 04:00,2026-08-07,4,平日,181.0,500.0,正常,0.0,181.0,181.0,89.59,0.0
2026-08-07 05:00,2026-08-07,5,平日,163.8,500.0,正常,0.0,163.8,163.8,81.08,0.0
2026-08-07 06:00,2026-08-07,6,平日,190.2,500.0,正常,0.0,190.2,190.2,94.15,0.0
2026-08-07 07:00,2026-08-07,7,平日,183.2,500.0,正常,61.5,121.7,183.2,60.24,30.44
2026-08-07 08:00,2026-08-07,8,平日,363.7,500.0,正常,140.7,223.0,363.7,110.38,69.65
2026-08-07 09:00,2026-08-07,9,平日,395.8,500.0,正常,230.1,165.7,395.8,82.02,113.9
2026-08-07 10:00,2026-08-07,10,平日,384.7,500.0,正常,212.1,172.6,384.7,85.44,104.99
2026-08-07 11:00,2026-08-07,11,平日,401.3,500.0,正常,260.5,140.8,401.3,69.7,128.95
2026-08-07 12:00,2026-08-07,12,平日,377.1,500.0,正常,268.1,109.0,377.1,53.96,132.71
2026-08-07 13:00,2026-08-07,13,平日,401.6,500.0,正常,278.0,123.6,401.6,61.18,137.61
2026-08-07 14:00,2026-08-07,14,平日,371.6,500.0,正常,224.5,147.2,371.6,72.86,111.13
2026-08-07 15:00,2026-08-07,15,平日,363.7,500.0,正常,190.9,172.8,363.7,85.54,94.5
2026-08-07 16:00,2026-08-07,16,平日,390.1,500.0,正常,166.5,223.6,390.1,110.68,82.42
2026-08-07 17:00,2026-08-07,17,平日,402.9,500.0,正常,53.6,349.4,402.9,172.95,26.53
2026-08-07 18:00,2026-08-07,18,平日,195.5,500.0,正常,31.8,163.7,195.5,81.03,15.74
2026-08-07 19:00,2026-08-07,19,平日,157.2,500.0,正常,0.0,157.2,157.2,77.81,0.0
2026-08-07 20:00,2026-08-07,20,平日,172.7,500.0,正常,0.0,172.7,172.7,85.49,0.0
2026-08-07 21:00,2026-08-07,21,平日,199.0,500.0,正常,0.0,199.0,199.0,98.5,0.0
2026-08-07 22:00,2026-08-07,22,平日,169.4,500.0,正常,0.0,169.4,169.4,83.85,0.0
2026-08-07 23:00,2026-08-07,23,平日,186.7,500.0,正常,0.0,186.7,186.7,92.42,0.0
